,title,year,artist,img link
104,Dempsey and Firpo,1924,George Bellows,https://uploads7.wikiart.org/images/eyvind-earle/mauve-barn-1985.jpg
105,Montreal River,1920,J. E. H. MacDonald,https://uploads3.wikiart.org/images/karl-bryullov/the-last-day-of-pompeii-1833.jpg
106,Scissor plant,1952,Gosta Adrian-Nilsson,https://uploads5.wikiart.org/00129/images/karl-bryullov/the-last-day-of-pompeii.jpg
107,Sitzendes Mädchen mit einer Katze,1903,Albert Anker,https://uploads7.wikiart.org/00142/images/karl-bryullov/the-last-day-of-pompeii.jpg
108,Bhopal,XX-XXI cent.,M.F. Husain,https://uploads7.wikiart.org/images/george-bellows/dempsey-and-firpo-1924.jpg
109,Dora Rainha do Frevo,1934,Anita Malfatti,https://uploads5.wikiart.org/images/j-e-h-macdonald/montreal-river-1920.jpg
110,Promenade (The White Umbrella),XX cent.,Dumitru Ghiatza,https://uploads0.wikiart.org/images/gosta-adrian-nilsson/scissor-plant-1952.jpg
111,Time eclipse,XX cent.,Eric Zammitt,https://uploads3.wikiart.org/images/albert-anker/sitzendes-m-dchen-mit-einer-katze-1903.jpg
112,Trompe l\u0027oeil with Studio Wall and Vanitas Still Life,1668,Cornelis Norbertus Gysbrechts,https://uploads8.wikiart.org/images/m-f-husain/bhopal(1).jpg
113,Blue head,1951,Gosta Adrian-Nilsson,https://uploads6.wikiart.org/images/anita-malfatti/autorretrato.jpg
114,Countess Anna Vorontsova,XVIII cent.,Aleksey Antropov,https://uploads2.wikiart.org/images/dumitru-ghia/promenade-the-white-umbrella.jpg
115,Les amoreux II,1933,Julio Gonzalez,https://uploads4.wikiart.org/images/eric-zammitt/time-eclipse.jpg
116,Sextant,1917,Marsden Hartley,https://uploads4.wikiart.org/images/cornelis-norbertus-gysbrechts/trompe-l-oeil-with-studio-wall-and-vanitas-still-life-1668.jpg
117,Last Painting,1993,"Robert De Niro, Sr.",https://uploads5.wikiart.org/images/gosta-adrian-nilsson/blue-head-1951.jpg
118,Magi 922 (Bottle crash),2008,Shozo Shimamoto,https://uploads2.wikiart.org/images/aleksey-antropov/countess-anna-vorontsova.jpg
119,Die Kartenlgerin,1880,Albert Anker,https://uploads4.wikiart.org/images/julio-gonzalez/les-amoreux-ii-1933.jpg
120,Battal Ebru,XX cent.,Mustafa Duzgunman,https://uploads7.wikiart.org/images/marsden-hartley/sextant-1917.jpg
121,"L´Aureole du Midi, Pétrole de sureté",1900,Jules Cheret,https://uploads6.wikiart.org/images/robert-de-niro-sr/last-painting-1993.jpg
